
 Node          U1          U2          U3
  346  -2.602e-07   1.318e-07   6.160e-06
  347  -1.783e-07   2.035e-07   4.426e-06
  348  -3.754e-08  -1.491e-07   3.012e-06
  349  -5.013e-08  -1.036e-07   4.327e-06
  350  -4.780e-08  -1.481e-08   4.952e-06
  351  -3.123e-08   8.229e-08   4.614e-06
  352  -1.146e-08   1.475e-07   3.433e-06
  353   1.899e-07  -1.809e-07   3.745e-06
  354   2.623e-07  -1.257e-07   5.335e-06
  355   2.898e-07  -1.946e-08   6.098e-06
  356   2.614e-07   9.807e-08   5.704e-06
  357   1.886e-07   1.797e-07   4.278e-06
  358   4.385e-07  -3.224e-07   6.840e-06
  359   6.020e-07  -2.120e-07   9.624e-06
  360   6.576e-07  -1.386e-08   1.081e-05
  361   5.813e-07   1.921e-07   9.895e-06
  362   4.097e-07   3.212e-07   7.235e-06
  363   7.150e-07  -5.631e-07   1.255e-05
  364   9.291e-07  -3.477e-07   1.730e-05
  365   9.863e-07   6.686e-09   1.910e-05
  366   8.730e-07   3.557e-07   1.721e-05
  367   6.383e-07   5.611e-07   1.244e-05
  368   1.012e-06  -8.379e-07   2.114e-05
  369   1.158e-06  -4.546e-07   2.786e-05
  370   1.133e-06   5.160e-08   2.994e-05
  371   1.053e-06   5.238e-07   2.696e-05
  372   8.619e-07   8.376e-07   1.992e-05
  373   1.261e-06  -9.971e-07   3.258e-05
  374   1.109e-06  -3.857e-07   3.955e-05
  375   9.756e-07   1.159e-07   4.075e-05
  376   9.857e-07   5.588e-07   3.744e-05
  377   1.033e-06   1.022e-06   2.946e-05
  378   9.838e-07  -8.090e-07   4.465e-05
  379   6.784e-07  -1.325e-07   4.879e-05
  380   5.761e-07   1.641e-07   4.861e-05
  381   6.047e-07   4.286e-07   4.564e-05
  382   7.983e-07   9.281e-07   3.926e-05
  383  -9.200e-07  -8.324e-07   4.544e-05
  384  -5.979e-07  -1.409e-07   4.976e-05
  385   3.665e-07   1.572e-06   9.939e-06
  386   3.692e-07   9.993e-07   5.926e-06
  387   2.255e-07   4.186e-07   1.521e-05
  388  -2.437e-07  -8.702e-07   5.709e-06
  389  -2.395e-07  -4.961e-07   3.031e-06
  390   1.607e-07   2.620e-07   1.848e-05
  391   1.704e-07   1.686e-07   2.060e-05
  392   2.452e-07   3.866e-08   2.163e-05
  393   4.247e-07  -3.023e-07   2.060e-05
  394   6.506e-07  -7.939e-07   1.504e-05
  395  -1.121e-07  -2.522e-07   1.382e-06
  396  -4.520e-08  -1.254e-07   6.611e-07
  397  -4.999e-09  -8.132e-08   4.244e-07
  398   3.076e-08  -1.035e-07   5.453e-07
  399   7.039e-08  -1.909e-07   1.020e-06
  400   1.255e-07  -3.599e-07   1.935e-06
  401   2.391e-07  -6.553e-07   3.596e-06
  402   4.768e-07  -1.157e-06   6.913e-06
  403   4.777e-07  -1.894e-06   1.209e-05
  404  -6.708e-09  -2.630e-06   1.498e-05
  405  -4.886e-07   1.692e-07   4.959e-05
  406  -5.164e-07   4.445e-07   4.659e-05
  407  -7.178e-07   9.607e-07   4.008e-05
